PRVE_MENO,DRUHE_MENO,RODNE_CISLO,BYDLISKO,NARODNOST,MATERINSKY_JAZYK,POHLAVIE
Matej,Mrkvicka,9306058555,KE,SK,Slovencina,muz
Martin,Baklazan,9504085555,KE,SK,Slovencina,muz
Martina,Domcekova,9555088888,KE,SK,Japoncina,zena
Mozog,Odisiel,8804041111,KE,HU,Polstina,muz
Mrtvola,Zhnila,4555052222,KE,US,Rustina,zena
Milos,Potkan,9305054444,KE,RU,Nemcina,muz
Marína,Sokolovska,8962057777,PO,CZ,Cestina,zena
Michal,Pichal,9802028888,PP,RU,Anglictina,muz
Michaela,Watsonova,9960058520,PO,SK,Madarcina,zena
Miazga,Brezova,8859048745,PO,HU,Cinstina,zena
Milota,Banova,8859099999,PO,HU,Japoncina,zena
