Meno,Priezvisko,Datum nastupu,Pracovna pozicia,Roky praxe,Plat
Betsy,Barber,2017/05/11,Automation Tester,4,2000
Iris,Bell,2012/03/25,Manual Tester,5,2300
Stella,Glover,2016/07/14,Java Developer,4,4000
Jimmy,Goodwin,2012/01/02,HR Specialist,2,2000
Irene,Dixon,2010/02/21,Frontend Developer,8,2600
Nathaniel,Klein,2013/03/31,Automation Tester,9,2400
Nelson,Stevenson,2017/01/02,C# Developer,5,1600
Tim,Chambers,2012/02/23,Java Developer,8,1800
Michael,Manning,2016/10/11,Web UI Developer,6,3500
Domingo,Jefferson,2005/06/10,HR Specialist,1,3000
Meredith,Saunders,2014/04/16,Java Developer,2,1900
Guy,Hampton,2008/12/25,Automation Tester,4,1700
Bridget,Wilkerson,2018/09/23,Frontend Developer,2,1400
Tabitha,Woods,2017/11/11,HR Specialist,3,2500
Tasha,Snyder,2018/02/02,C# Developer,4,2300
Patti,Nelson,2007/10/07,Manager,7,3400
Amos,Hudson,2012/05/24,Java Developer,10,3300
Elbert,Bowman,2013/07/31,Python Developer,15,4600
Debra,Garza,2005/07/08,Automation Tester,16,1800
Marian,Hunter,2018/03/13,Python Developer,1,2000
Vickie,Nash,2016/02/14,Manager,5,5600
Bernice,Moss,2009/11/21,C# Developer,6,3800
Norman,Rhodes,2013/10/29,Java Developer,3,3900
Madeline,Waters,2010/02/07,HR Specialist,3,2700
Tommy,Cohen,2009/12/31,Python Developer,4,4900
